bank_name,branch_name,location,city,review_text,rating,review_date
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC83+JV6, Agadir 80000","CC83+JV6, Agadir 80000",AGADIR,Le pure service bancaire qu'il m'ait été donné de voir!!!!! Un conseil si vous êtes MRE fuyez !!!!! Impossible de joindre un conseiller. Ne réponds pas au mails!!! Et lorsqu'ils vous disent qu'ils vous rappelle ils ne le font pas. Bref fuyez  perso je suis extrêmement déçu.,1 étoile,il y a 2 semaines
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC83+JV6, Agadir 80000","CC83+JV6, Agadir 80000",AGADIR,"Il est plus facile d'ouvrir un compte que de le clôturer. Très déçu par la réticence et le manque de flexibilité des agents opérants pour m’assister à clôturer mon compte, un classique des banques marocaines",1 étoile,il y a un an
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC83+JV6, Agadir 80000","CC83+JV6, Agadir 80000",AGADIR,Service médiocre attendre pls qu 40 min !!!!!!!,1 étoile,il y a 8 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC83+JV6, Agadir 80000","CC83+JV6, Agadir 80000",AGADIR,Vraiment les agents no professionel ainsi le service de réception très déçu.,1 étoile,il y a 10 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC83+JV6, Agadir 80000","CC83+JV6, Agadir 80000",AGADIR,Excellente expérience,5 étoiles,il y a un an
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,"La pire agence de tout le royaume,
J'ai la chance de voyager dans tout le royaume grâce à mes business, j'ai jamais vu une agence aussi nul, le guichet et son responsable prend des frais imaginaire qu'on ne trouve dans aucun agence du réseau attijariwafa bank. Et complique tout ce qui est administratif. A fuir de toute urgence",1 étoile,il y a 10 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,"Service déplorable, à chaque fois que je viens dans cette agence je me prépare à une longue attente. Personnel désintéressé, aucune amabilité.

La seule fois où j'ai eu un accueil avec un large sourire c'était pour ouvrir mon compte...

Bref, a éviter",1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,Très bon service par la directrice  qui m'a aidé pour plus d'une heure avec une affaire assez difficile.,5 étoiles,il y a 2 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,"Service hors normes , surtout si on demande une assistance à  l'accueil,manque de professionnalisme.",1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,Zéro est mauvaise service Téléphonique,1 étoile,il y a 4 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,Equipe au top 👍 …,5 étoiles,il y a 10 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,Zéro service,1 étoile,il y a 4 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK CC6R+328, Av. Moulay Hassan I, Agadir 80000","CC6R+328, Av. Moulay Hassan I, Agadir 80000",AGADIR,"J'ai emmené mon père ouvrir un nouveau compte SALMA BOUZIANE elle est très serviable. Elle a rendu les choses si faciles et rapides, merci pour votre aide !!!",5 étoiles,il y a 4 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,Servie nul.  Une file d attente de plus de 7 personnes. Ils ne font aucun effort pour s améliorer,1 étoile,il y a 2 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,"Incompétence, manque de professionnalisme et favoritisme sont les principales caractéristiques de cette équipe d'incompetants.
Le moindre souci à regler = de multiples aller-retours et des dizaines d'heures d'attente (toujours au tel pour demander conseil chez leurs supérieurs = perte de temps énorme pour le client). Le comble c'est le favoritisme : Leurs clients préférés ne font pas la queue.
S'il y avait une note inférieure à une étoile, ils l'auraient largement mérité.",1 étoile,il y a un an
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,un service plus long que ça n’existe pas. Employé introuvable alors que la salle d’attente et plus que rempli. la banque en elle même pas ouf. fuyez tant que vous pouvez,1 étoile,il y a 9 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,Une banque on manque de professionnalisme. Rien qui va le temps d'attente qui va d'une  1h a la fermeture de simples demandes qui peuvent êtres traités deviennent  une journée perdue...,1 étoile,il y a 11 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,"Service zero
Je ne sais pas s'ils ont déjà suivi une formation sur la gestion de la relation client, mais il est certain qu'ils ne savent pas comment s'occuper d'un client",1 étoile,il y a un an
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,Trois opération bancaires (des versements des sommes inférieur à 20000.00dh) à nécessité à l agent 45 min.  Vendredi 25 février 2022 à 9h du matin jusqu'à 9h 45 min.,1 étoile,il y a 3 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,"5 mois Juste pour avoir un identifiant pour être authentifier par l'application attijariwafa.
Et ça ne fonctionne toujours pas.",1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,Mauvaise service,1 étoile,il y a 2 mois
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,"Agence nul, services médiocres, chef d'agence  incompétent  et arrogant",1 étoile,il y a 3 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 9FV7+QX6, Agadir 80000","9FV7+QX6, Agadir 80000",AGADIR,service de guichet médiocre toujours en panne ou vide,1 étoile,il y a 2 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 80000, Agadir","80000, Agadir",AGADIR,"Vous n’avez aucun respect pour vos clients !
Même pas de Bonjour à l’entrée. Par contre pour aller fumer et passer devant vos clients sans un regard.
Exiger le masque aléatoire et vous même ne le porté pas ! Quel honte cette banque.",1 étoile,il y a 3 ans
ATTIJARIWAFA BANK,"ATTIJARIWAFA BANK 80000, Agadir","80000, Agadir",AGADIR,Un service trop long pour faire un versement attend une demi heure rien ne bouge .c'est pas normal avec un groupe connu attijari pas normal.,1 étoile,il y a 2 ans
